fix_x,fix_y,mov_x,mov_y
321.6188918079598,86.47345529516292,325.7993985564872,74.60202519221906
343.34267016955175,113.7833480925928,342.33066404140595,87.95420116080729
371.8939217305011,101.36976045739743,356.31865791326027,86.68256535427506
402.9278908184897,144.8173171805813,372.2141054949129,126.73909326003971
335.2738382066748,167.7824543056928,318.169583717294,131.18981858290246
302.9985103551667,185.16147699496634,310.53976887810074,149.6285377776195
117.41537520899553,155.98954605225714,116.61530838193852,152.17180939068393
181.3453515302518,118.74878314667097,178.28964499875076,115.93018890451592
182.58671029377135,162.81701925161462,178.92546290201687,155.35089890701445
149.69070306050352,175.23060688681,147.1345677387116,169.97471068213488
196.86233607424603,183.29943884968702,196.0925462902017,183.32688665072308
184.44874843905066,148.54139347113988,180.83291661181516,141.99872293842623
