fix_x,fix_y,mov_x,mov_y
193.22413626609674,110.15361889232634,185.9311459051022,104.10235585436604
207.7715510997863,210.23983294811035,218.180467631155,208.0168369716473
195.55172263948705,172.9984509738651,202.0558067681286,173.9758862608138
324.7327663626502,168.92517482043206,326.87262604118484,145.30982250432243
362.55604493024305,161.94241570026105,361.510786413612,144.71261284272884
375.35776998388985,174.1622441605603,370.4689313375155,157.8512253977874
382.92242569740836,137.5027587796626,379.4270762614191,122.61585536376674
343.9353539431204,110.73551548567389,345.3861255505856,91.56095296090106
318.91380042917433,178.81741690734094,317.9144811172813,164.42053167531668
352.6638028433341,212.56741932150067,352.55264148970844,205.62799832527304
