fix_x,fix_y,mov_x,mov_y
280.4828942322446,213.41383986088954,274.44269501980006,208.00620979434953
276.1815785006755,179.00331400833716,266.3301110988434,169.9394698575528
298.91710451039773,204.81120839775144,293.16404252970005,201.1417157073862
293.3868414269517,185.1480507677215,287.54763827673014,178.67609869550614
293.3868414269517,216.48620824058173,286.29954844273675,211.12643437933286
253.4460524909534,113.86910435886284,240.12022458498336,107.53497815788603
297.6881571585209,135.99015669264656,287.54763827673014,123.76014599979939
267.57894703753743,142.13489345203095,257.59348226089,133.12081975474942
279.2539468803677,121.85726214606257,265.7060661818467,112.52733749385939
282.3263152600599,137.8335777204619,271.9465153518134,128.1284604187761
271.8802627691065,164.87041946175304,270.69842551782006,151.21812234765278
231.9394738331081,213.41383986088954,230.75955083003333,211.12643437933286
241.1565789721847,234.3059448427964,239.49617966798667,231.7199166402229
102.83034284571647,265.41834215804295,109.69483693267983,272.2828362450063
144.68421184985013,275.4756811306716,142.7692175335032,287.883959169923
121.33421216418955,281.00594421411756,125.92000477459317,284.139689667943
203.67368473994006,104.65199921978626,193.31685581023328,103.16666373890936
209.8184214993244,98.50726246040199,202.0534846481866,96.30216965194603
204.28815841587848,131.68884096107752,198.9332600632033,124.38419091679606
211.66184252713973,116.94147273855503,201.42943973118997,113.77542732785273
