fix_x,fix_y,mov_x,mov_y
95.23104041846557,166.08604694818195,113.50884494590531,148.86021719847645
153.2884666119179,185.8638514756218,147.32251075088305,171.82799019808397
187.74012611132918,167.36203433704907,182.41216394472787,159.70611000384667
179.44620808369314,120.78849464340044,178.5842017781266,113.13257031019808
204.96595586103484,192.88178211439072,197.72401261113288,186.50184517005545
307.0449469704016,134.18636222650485,301.07899110936677,130.99639375433728
340.2206190809459,71.0249864775841,342.5485812475469,84.42285406068868
311.5109028314364,157.15413522611237,301.07899110936677,166.0860469481821
346.6005560252813,190.3298073366566,328.5127199700091,201.81369383646046
335.7546632199111,169.27601542034967,320.218801942373,181.3978956145871
166.04834050058878,29.555396339403842,161.99636572285453,25.089440478369283
271.3173000821232,36.57332697817287,267.265325304389,45.505238700242614
