fix_x,fix_y,mov_x,mov_y
260.3301075268817,36.51063978494619,225.7703167598084,41.4171798283312
266.01935483870966,84.65042473118274,225.7703167598084,81.49324157257064
266.89462365591396,60.580532258064466,225.7703167598084,60.46322897410835
123.78817204301075,133.66547849462364,110.30364381353428,117.2045837209028
138.2301075268817,115.72246774193547,119.82666838642291,106.09438838586613
140.8559139784946,139.3547258064516,121.01704645803392,121.56930331681008
129.4774193548387,166.05042473118277,115.85874148105262,140.61535246258723
105.84516129032258,327.5375215053763,94.0351435015163,312.4265874651187
178.93010752688173,304.78053225806445,158.31555936851424,281.87355029376783
210.43978494623656,311.78268279569886,176.5680231332173,285.84147719913807
221.81827956989247,331.0385967741935,188.8685965398651,298.53884329632285
263.8311827956989,343.29236021505375,226.56390214088236,308.0618678692114
264.26881720430106,264.0805322580645,225.7703167598084,240.2103177873803
157.9236559139785,159.48590860215052,137.2855467700519,142.59931591527234
140.41827956989246,193.1837580645161,116.25553417158966,171.5651823244751
175.86666666666667,228.19451075268813,152.36366901045886,211.64124406871457
