fix_x,fix_y,mov_x,mov_y
95.70176651241108,118.04915379635622,81.07289986440088,98.93966918127651
61.066208784279624,136.56126223725408,53.209613608439156,120.05710718579488
142.87778479727984,116.25765943110804,127.12064662425348,97.76647818102549
133.32314818262284,124.02080168051683,119.78820287268456,105.39221968265713
143.17636719148788,136.26267984304604,127.12064662425348,116.5375341850418
145.86360873936013,199.2635650209404,127.70724212437898,174.61048869746736
144.37069676832,170.30107278276148,127.4139443743162,145.86730919131733
143.7735319799039,152.98329391869575,127.4139443743162,131.78901718830508
145.5650263451521,185.82735728157905,127.12064662425348,159.0657079441413
75.09958131205703,124.02080168051683,64.94152361094939,106.56541068290815
117.19969889538926,122.82647210368472,103.65682661923307,98.93966918127651
