fix_x,fix_y,mov_x,mov_y
257.6688172043011,48.90481451612902,225.22043010752697,44.20292473118286
259.82741935483875,83.87416935483867,228.24838709677425,84.70184946236566
181.2543010752688,120.13868548387092,146.87204301075275,113.84593548387102
120.81344086021504,196.98492204301073,102.9666666666667,194.46529032258067
141.10430107526884,187.48707258064513,123.78387096774196,188.03088172043013
111.31559139784945,174.53545967741934,95.77526881720433,169.48464516129036
142.8311827956989,136.11234139784943,119.24193548387103,130.49969892473123
149.30698924731183,146.4736317204301,124.16236559139787,139.96206451612906
258.1005376344086,147.76879301075266,227.49139784946243,140.34055913978497
249.4661290322581,289.804814516129,228.24838709677425,267.89324731182796
149.30698924731183,232.38599731182794,131.7322580645162,231.55776344086024
158.80483870967743,250.08653494623655,141.9516129032258,245.18356989247314
162.25860215053763,237.9983629032258,148.3860215053764,237.99217204301078
