fix_x,fix_y,mov_x,mov_y
229.50056351410328,52.79813035249623,210.31317204301087,58.356732526881785
242.87770698302862,62.72310776492469,225.33467741935493,72.25162500000005
243.30922774009068,145.5750931208493,226.08575268817214,134.59087231182798
246.32987303952544,301.78560717733217,225.33467741935493,282.55270026881715
134.99751771750172,233.17380680445712,129.1970430107528,225.47097983870967
139.3127252881228,253.88680314343827,126.94381720430118,237.48818413978495
150.9637857287997,227.99555771971183,144.21854838709686,232.60619489247313
137.58664225987437,146.8696553920356,128.4459677419356,125.95350672043011
107.81171002258895,188.29564806999792,93.14543010752698,172.89571102150538
125.93558181919747,188.29564806999792,115.30215053763447,169.14033467741936
141.03880831637122,178.80219141463158,128.4459677419356,157.8742056451613
147.51161967230283,99.83389287226589,135.20564516129042,92.53065725806454
