fix_x,fix_y,mov_x,mov_y
222.02965776496643,38.87191367109767,229.3366149633767,43.27214444666845
228.41601845776415,81.58070080418219,229.72869794838806,82.87252593281602
228.01687091446428,59.627585922690116,229.72869794838806,62.484210712225206
227.21857582786458,179.77099645594657,229.72869794838806,162.46537189012255
212.05096918247006,194.53945555804123,212.86912959289947,183.6378530807361
228.01687091446428,213.69853763643428,230.12078093339943,198.53700651116787
229.21431354436385,231.2610295416279,230.12078093339943,216.18074083667915
167.74559187618615,277.16299702111127,164.64292243650192,261.66236709799716
195.28677236387614,126.28522565376596,184.2470716870701,109.92625189860001
142.59929664829525,127.08352074036566,128.963370800468,119.72832652388405
156.96860820709003,132.67158634656366,146.21502214096796,121.29665846392953
