fix_x,fix_y,mov_x,mov_y
248.1680107526882,52.82743682795706,227.49139784946243,47.595397849462415
246.11290322580646,111.19249059139787,227.11290322580652,102.85561290322585
177.47231182795696,116.124748655914,151.7924731182796,112.69647311827961
109.6537634408602,182.71023252688175,96.53225806451616,167.95668817204304
140.06935483870967,188.05351209677423,124.16236559139787,186.50292473118282
153.2220430107527,254.63899596774195,142.3301075268817,245.5480860215054
160.6204301075269,243.13039381720432,150.27849462365594,242.52012903225807
157.74327956989248,249.70673790322581,146.87204301075275,246.30507526881723
247.3459677419355,149.82851209677423,227.11290322580652,140.70507526881724
242.41370967741938,281.35539381720434,227.49139784946243,267.1222795698925
