fix_x,fix_y,mov_x,mov_y
138.76648598788617,199.04900846864223,132.6456586047819,200.86079586740826
145.30226963455488,190.97539337569856,140.17627651179856,190.95208809501787
151.45359541965482,197.51117702236724,144.5361079316503,198.87905431293018
145.30226963455488,203.66250280746718,138.59088326821615,205.22062728726002
166.44745202083593,120.61960470861791,155.63386063672755,123.1765269318677
164.90962057456093,170.59912671255498,154.04846739314513,175.49450397008889
178.7501035910358,135.99791917136778,167.52430996359595,134.27427963694493
198.74191239261066,118.69731540077419,188.13442213016793,116.83495395753786
200.27974383888565,34.8855015787874,188.53077044106357,41.92512319826659
201.43311742359188,238.2637103486544,188.9271187519592,238.9102337133873
83.40455392198666,141.764787094899,80.7240298774563,144.1829874093353
129.53949731023627,102.93454307645558,127.49313056313889,106.92624618514748
101.85853127728649,115.23719464665547,98.55970386775897,116.04225733574663
154.91371617377357,109.47032672312426,144.93245624254592,111.68242591589487
