fix_x,fix_y,mov_x,mov_y
218.50933966717372,55.74165499052168,222.17115765632212,62.587635845568684
204.41554588163012,47.58209016731223,199.2490208629252,48.538584262518896
221.84734345848665,132.1448528805736,221.80144577255766,123.59009666670585
221.10556483819488,142.15886425451245,221.80144577255766,134.6814531796399
219.62200759761134,287.1765845215528,221.4317338887932,287.0027492906006
121.33634040895231,215.96583697354322,115.69413513215545,217.86662702664512
132.4630197133288,183.3275776807055,125.30664411003164,188.65938820925217
142.47703108726765,224.49629110689852,130.48261048273417,219.71518644546745
165.10127900616652,280.5005769389269,162.27783248647842,281.45707103413355
147.66948142931003,259.73077557075743,137.8768481580235,252.98925598426956
190.32175209608658,288.2892524519904,191.4850713038714,289.96044436071634
206.26999243235957,290.88547762301164,208.1221060732724,287.0027492906006
176.9697369308348,284.5803593505316,175.58746030199922,286.63303740683614
156.57082487281122,271.2283441852798,149.70762843848655,268.51715510237716
141.36436315683,241.92808868375505,131.59174613402757,237.4613568661619
