fix_x,fix_y,mov_x,mov_y
237.02016129032262,35.36094758064513,228.75879778344148,42.33750338510083
240.61290322580646,81.66739919354836,227.96285754960462,78.95075414159726
239.81451612903226,103.2238508064516,228.3608276665231,101.23708068902988
241.41129032258067,143.9415927419355,228.75879778344148,149.78943495307954
221.05241935483872,124.38110887096775,201.6968298329876,120.33964630111501
161.9717741935484,114.80046370967739,143.1952226459769,114.3700945473384
173.14919354838713,125.57868951612903,155.53229627044863,121.13558653495187
199.89516129032262,123.98191532258062,182.9922343378209,118.74776583344124
186.32258064516128,107.61497983870964,168.66531012875708,103.22693127362209
204.68548387096774,116.79643145161288,186.9719355070053,110.39039337815399
187.1209677419355,120.38917338709678,171.45110094718615,117.55385548268595
195.10483870967744,115.19965725806452,175.82877223328904,110.39039337815399
174.3467741935484,112.00610887096775,157.52214685504083,109.99242326123556
241.81048387096774,250.52627016129034,228.75879778344148,228.98548821984903
239.41532258064518,304.01820564516134,227.96285754960462,297.43634832982065
171.15322580645164,276.47385080645165,161.50184802422513,274.7520516654696
201.49193548387098,301.6230443548387,192.14554702694505,298.23228856365756
189.91532258064518,286.85288306451616,177.81862281788125,281.51754365308307
184.72580645161293,276.0746572580646,171.45110094718615,274.7520516654696
196.70161290322585,292.8407862903226,184.18614468857623,288.28303564069654
221.05241935483872,308.8085282258065,209.6562321713564,303.40590008359726
208.67741935483872,307.2117540322581,200.90088959915073,301.0180793820866
231.83064516129036,308.4093346774194,223.58518626350173,302.6099598497604
245.80241935483872,306.81256048387104,234.7283495372181,302.6099598497604
239.81451612903226,58.91336693548385,229.15676790035997,60.246158646430615
