fix_x,fix_y,mov_x,mov_y
240.7815285349283,38.723934723481364,228.5582071435531,42.084027033709674
242.8537989662196,83.07052195311485,228.95382240770869,79.27186186433693
216.7431915319494,130.73274187281436,192.95283336954822,115.66846616665288
152.91726224817793,120.78584380261623,134.40177427451817,116.45969669496412
178.6134155961898,111.25339981867631,164.0729190861888,102.2175471853622
167.4231552672169,128.6604714415231,149.83076957658693,120.81146460067583
193.1193086152288,125.34483875145702,176.33699227501268,115.27285090249728
202.6517525991687,119.95693563009968,180.68876018072433,106.56931509107392
151.67389998940314,239.7341665587359,132.0280826895845,234.74866067749113
171.9821502160577,278.692850667012,162.886073293722,274.310187093052
239.9526203624118,250.50997280145057,228.5582071435531,219.715280639578
238.29480401737877,314.75035617148035,228.16259187939738,298.83833347069975
215.08537518691642,318.06598886154643,206.0081370866833,298.83833347069975
196.0204872190366,299.83000906618315,182.27122123734682,289.34356713096514
184.41577280380542,285.7385701334024,173.963300690079,279.4531855270749
206.79629346175128,308.5335448776065,195.7221402186375,294.48656556498804
228.76236003343885,316.82262660277166,218.66782553966277,300.0251792631666
246.16943165628564,318.06598886154643,234.88805137004283,300.8164097914778
239.9526203624118,278.692850667012,228.95382240770869,255.3206544135828
242.43934487996134,150.62653801321068,227.7669766152418,154.04314678974694
