fix_x,fix_y,mov_x,mov_y
209.54194795561324,38.679475103319135,220.33370832579612,39.50169549398919
209.91636954490338,91.84734078251756,220.72343645804472,89.38689642180117
131.28783579397611,104.95209640767206,134.59351923111922,105.75547797623949
155.62523909783454,90.72407601464715,159.53611969502526,93.67390587653506
140.64837552622936,121.80106792572792,144.33672253733255,124.85215645641753
155.62523909783454,115.43590090779571,164.99231354650465,112.38085622446454
209.54194795561324,221.39721067690243,220.33370832579612,225.7917427087871
207.66984000916256,271.5697036417798,219.94398019354765,280.74340935583
209.54194795561324,245.36019239147072,219.94398019354765,254.63162449517841
209.54194795561324,232.2554367663162,220.33370832579612,239.4322273374857
209.1675263663231,259.96263437378576,220.33370832579612,267.49265285938
208.41868318774283,280.55582178474293,219.55425206129905,288.92770013304914
181.08590716956337,284.6744592669343,187.98627334916807,294.3838939845286
160.86714134789634,147.63615758674686,161.87448848851648,151.74339758156617
149.63449366919247,168.229344997704,153.3004695790488,171.22980419399275
186.7022310089153,153.62690301538893,189.9349140104107,157.97904769754268
188.19991736607585,129.66392130082065,195.0013797296416,134.98508789487934
172.84863220518054,133.40813719372193,179.80198257194888,143.94883493659555
179.96264240169296,142.39425533668506,185.25817642342838,150.18448505257206
186.32780941962517,207.1691902838775,188.76572961366514,212.93071434458557
133.908786919007,156.62227572970997,135.76270362786488,160.7071446232824
160.49271975860626,208.29245505174788,164.2128572820077,214.4896268735797
144.39259141913067,183.20620856930918,149.01346012431486,187.98811388067958
169.47883790156936,188.448110819371,171.6176917947297,196.9518609223958
145.51585618700105,270.4464388739094,152.13128518230315,286.589331339558
163.86251406221737,267.4510661595884,167.33068233999586,283.08177814932117
169.8532594908595,161.48975639048166,176.29442938171212,170.45034792949568
