fix_x,fix_y,mov_x,mov_y
204.83333333333331,265.7142204301075,193.48224708613748,256.0714756684838
159.2956989247312,260.3325,148.98612670606417,252.2683884565117
166.33333333333331,252.0529301075269,158.8741534571916,249.98653612932844
165.50537634408602,259.91852150537636,155.83168368761392,254.55024078369496
169.23118279569894,272.7518548387097,160.01507962078324,260.63518032285026
187.0322580645161,267.37013440860215,177.5092807958547,256.0714756684838
176.68279569892474,261.98841397849463,167.24094532353013,253.02900589890612
196.55376344086022,265.7142204301075,185.49576394099608,255.31085822608935
240.84946236559142,295.5206720430108,228.4706494362805,272.04444195876647
210.21505376344084,285.99916666666667,198.04595174050394,266.33981114080837
225.11827956989248,291.79486559139787,215.5401529155755,270.52320707397763
248.30107526881721,156.837876344086,228.4706494362805,140.83793314572998
247.88709677419354,136.1389516129032,228.09034071508324,113.45570521953107
246.64516129032256,211.06905913978494,228.09034071508324,199.4054762100999
246.64516129032256,40.92389784946232,228.85095815747775,43.47890051924492
247.88709677419354,83.14970430107525,228.09034071508324,68.95958483945782
208.14516129032256,101.36475806451608,179.79113312303798,86.83409473572658
207.73118279569894,64.93465053763441,188.53823371057376,58.310940645936
177.09677419354836,119.57981182795697,160.77569706317763,106.99045695917857
109.2043010752688,163.87551075268817,105.25062376838537,143.11978547291324
139.01075268817203,129.10131720430107,132.63285169458425,116.11786626791152
131.9731182795699,166.77336021505374,125.78729471303461,142.35916803051882
151.84408602150538,135.31099462365592,144.04211333050046,123.72404069185566
166.747311827957,127.44540322580644,153.1695226392335,116.49817498910872
160.9516129032258,119.57981182795697,147.08458310007813,109.2723092863618
119.13978494623655,143.590564516129,118.56142901028761,126.00589301903892
141.49462365591398,150.2142204301075,134.53439530057028,132.47114127939145
142.73655913978493,174.6389516129032,127.68883831902065,170.50201339911214
