fix_x,fix_y,mov_x,mov_y
233.86743687859226,69.06373085175704,210.22101462765482,63.60046108520163
244.9870597961897,75.05122011507876,225.6336792773489,74.55156491524747
233.86743687859226,32.28343966278089,214.68257544730312,31.963938909513672
142.77206451519783,124.2341676352213,135.18567356993327,121.60075174062965
163.3005991323008,91.30297668695192,144.5143916473798,89.55863312679179
136.35689744735313,224.73845169812125,130.31851631213516,233.1397722318373
145.7658091468587,217.46792902123062,139.64723438958157,224.2166505925407
106.84712893526762,172.98943735084083,92.59804756419948,177.16746376715855
129.94173037950847,172.1340817417949,117.33943029134008,174.73388513825947
241.99331516452887,140.91360201161746,226.44487215364865,136.2022235140241
238.99957053286803,274.77675482730973,225.2280828391991,278.9721697427699
