fix_x,fix_y,mov_x,mov_y
208.39996468896868,35.72306482937205,221.86824781618094,38.67284749838154
209.64846186828987,88.57611208730236,223.1880876914633,87.06697625873613
119.75666495716438,108.13590123000094,129.03950992131894,106.86457438797214
135.98712828833982,94.81859798390826,149.71700130074322,93.226229010054
137.235625467661,109.80056413576253,152.79662767640212,108.1844142632545
125.9991508537703,125.19869601405716,137.3984957981075,126.66217251720809
178.0198666588198,120.62087302321282,187.55241105883857,122.26270626626678
205.0706388774455,105.63890687135856,216.5888883150513,104.66484126250145
193.83416426355484,117.29154721168965,206.4701159378863,118.74313326551373
197.16349007507802,108.96823268288173,208.66984906335693,109.94420076363104
185.9270154611873,118.95621011745123,197.23123681090948,119.18307989060781
208.81613041540908,134.77050772218627,222.30819444127502,140.3005178951262
208.39996468896868,225.91080181263294,222.74814106636921,234.88904229036476
207.1514675096475,272.1051974475169,222.30819444127502,285.48290417619
208.39996468896868,249.21608249329512,222.74814106636921,259.5260532956362
208.81613041540908,235.89877924720247,223.1880876914633,248.52738766828287
207.98379896252828,261.2848885600666,223.1880876914633,271.4046121731778
145.55893999646895,136.85133635438825,149.27705467564903,142.06030439550275
122.66982504224715,158.07578840284845,128.59956329622486,163.61768902511525
133.49013392969744,145.59081660963656,138.71833567338984,153.49891664795018
170.94504930933306,211.3450013872191,182.27305155770904,218.61101716188185
140.98111700562458,190.1205493387589,146.19742829999012,195.73379265698694
139.316454099863,169.31226301673914,143.11780192433122,176.81608777793923
159.292408969002,196.77920096180526,168.19475955469676,205.41261840905787
108.10402461683329,136.85133635438825,121.12047066962458,138.98067801984382
67.73594915211491,170.9769259225007,69.20676890851695,181.65550065397468
178.4360323852602,71.51331730324614,190.63203743449748,69.02916462987673
